#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
177	2.66701	-0.05533	2.11859
178	2.66472	-0.06311	2.42564
179	2.66582	-0.05231	2.00158
180	2.76736	0.32385	10.47646
181	2.66303	-0.06233	2.39668
182	2.66566	-0.05855	2.24588
183	2.66722	-0.07201	2.77473
184	2.66643	-0.06390	2.45527
185	2.66618	-0.07097	2.73477
186	2.66398	-0.04956	1.89553
187	2.66413	-0.06343	2.43906
188	2.66695	-0.05161	1.97327
189	2.66701	-0.04984	1.90435
190	2.66426	-0.06173	2.37195
191	2.66420	-0.05801	2.22593
192	2.66539	-0.06469	2.48757
193	2.66652	-0.06766	2.60326
194	2.66744	-0.07131	2.74697
195	2.76188	-0.15020	5.75092
196	2.66735	-0.06116	2.34661
197	2.66738	-0.05844	2.24005
198	2.66497	-0.07159	2.76051
199	2.66503	-0.06799	2.61792
200	2.66624	-0.06463	2.48420
201	2.66576	-0.06049	2.32180
202	2.66529	-0.06643	2.55598
203	2.66636	-0.06658	2.56084
204	2.66628	-0.05917	2.26960
205	2.66548	-0.05471	2.09574
206	2.66508	-0.05889	2.25962
207	2.66590	-0.05788	2.21950
208	2.66514	-0.05163	1.97549
209	2.73138	0.31224	10.25872
210	2.69741	-0.10952	4.23220
211	2.66451	-0.05557	2.13012
212	2.66566	-0.05948	2.28207
213	2.66661	-0.06774	2.60659
214	2.66668	-0.05317	2.03433
215	2.66625	-0.07013	2.70129
216	2.66453	-0.05285	2.02365
217	2.66457	-0.07119	2.74511
218	2.66570	-0.06774	2.60751
219	2.66695	-0.07266	2.80063
220	2.66521	-0.06909	2.66112
221	2.66619	-0.06824	2.62657
222	2.66572	-0.07143	2.75339
223	2.66423	-0.06902	2.65964
224	2.76413	0.31793	10.31539
225	2.66644	-0.05476	2.09676
226	2.66567	-0.06680	2.57042
227	2.66493	-0.06240	2.39773
228	2.66567	-0.05856	2.24621
229	2.66756	-0.07785	3.00602
230	2.66594	-0.06524	2.50858
231	2.66661	-0.06500	2.49837
232	2.66619	-0.06092	2.33823
233	2.66518	-0.06265	2.40716
234	2.66515	-0.07360	2.84000
235	2.66588	-0.06061	2.32636
236	2.66618	-0.07647	2.95270
237	2.66609	-0.06448	2.47845
238	2.66689	-0.06894	2.65354
239	2.76124	-0.14132	5.39404
240	2.66643	-0.06299	2.41938
241	2.66484	-0.07146	2.75559
242	2.66426	-0.07546	2.91477
243	2.66661	-0.07049	2.71519
244	2.66705	-0.06360	2.44301
245	2.66798	-0.06912	2.65946
246	2.66420	-0.05435	2.08243
247	2.66582	-0.05963	2.28815
248	2.66717	-0.06830	2.62802
249	2.66676	-0.04868	1.85923
250	2.66426	-0.05167	1.97755
251	2.66585	-0.05326	2.03844
252	2.66536	-0.06009	2.30634
253	2.74013	0.35016	11.33098
254	2.68955	-0.08794	3.38025
255	2.66502	-0.06981	2.69007
256	2.66607	-0.05897	2.26174
257	2.66637	-0.06567	2.52496
258	2.66343	-0.03803	1.44844
259	2.66426	-0.05350	2.04918
260	2.66563	-0.05487	2.10158
261	2.66567	-0.06955	2.67888
262	2.66417	-0.06896	2.65731
263	2.66545	-0.06292	2.41778
264	2.66408	-0.06430	2.47312
265	2.66628	-0.05551	2.12623
266	2.66402	-0.05874	2.25483
267	2.66603	-0.04429	1.68920
268	2.76353	-0.15734	6.03716
269	2.66478	-0.07140	2.75335
270	2.66701	-0.05899	2.26174
271	2.66566	-0.06863	2.64248
272	2.66610	-0.05350	2.04796
273	2.66521	-0.05261	2.01377
274	2.66322	-0.05978	2.29612
275	2.66509	-0.05981	2.29579
276	2.66694	-0.06167	2.36714
277	2.66735	-0.07489	2.88869
278	2.66567	-0.07687	2.96921
279	2.66530	-0.06277	2.41181
280	2.66475	-0.05673	2.17524
281	2.66594	-0.06982	2.68939
282	2.71724	0.37488	12.12367
283	2.66696	-0.05345	2.04499
284	2.66478	-0.06591	2.53608
285	2.66520	-0.05902	2.26443
286	2.66521	-0.06725	2.58867
287	2.66704	-0.04804	1.83439
288	2.66432	-0.06271	2.41046
289	2.66664	-0.07692	2.97023
290	2.66662	-0.07416	2.86044
291	2.66649	-0.06030	2.31385
292	2.66683	-0.05515	2.11160
293	2.66530	-0.06643	2.55610
294	2.66634	-0.05649	2.16432
295	2.66582	-0.06238	2.39602
296	2.66627	-0.07381	2.84715
297	2.72191	-0.12121	4.66068
298	2.66576	-0.05316	2.03478
299	2.66625	-0.07379	2.84631
300	2.66478	-0.06774	2.60834
301	2.66356	-0.06744	2.59756
302	2.66460	-0.06298	2.42099
303	2.66564	-0.05945	2.28101
304	2.66392	-0.06139	2.35897
305	2.66649	-0.06488	2.49380
306	2.66698	-0.06720	2.58488
307	2.66722	-0.07018	2.70246
308	2.66597	-0.07168	2.76298
309	2.66298	-0.05771	2.21501
310	2.66478	-0.07872	3.04410
311	2.76428	0.31594	10.25712
312	2.66485	-0.05866	2.25094
313	2.66505	-0.06069	2.33033
314	2.66677	-0.06333	2.43236
315	2.66466	-0.05664	2.17170
316	2.66622	-0.06369	2.44719
317	2.66749	-0.08418	3.25870
318	2.66289	-0.06951	2.68039
319	2.66456	-0.06478	2.49173
320	2.66564	-0.05396	2.06611
321	2.66423	-0.06993	2.69567
322	2.66722	-0.07202	2.77499
323	2.66558	-0.06671	2.56677
324	2.66613	-0.07275	2.80535
325	2.68764	-0.08420	3.23405
326	2.74515	-0.14994	5.77775
327	2.66705	-0.07184	2.76812
328	2.66594	-0.06066	2.32847
329	2.66396	-0.07241	2.79420
330	2.66652	-0.06216	2.38681
331	2.66575	-0.06963	2.68214
332	2.66469	-0.06765	2.60503
333	2.66671	-0.07241	2.79127
334	2.66585	-0.06423	2.46902
335	2.66621	-0.06460	2.48310
336	2.66582	-0.05506	2.10888
337	2.66618	-0.06457	2.48188
338	2.66680	-0.05786	2.21792
339	2.66567	-0.05765	2.21037
340	2.73372	0.35840	11.59068
341	2.69752	-0.09865	3.79580
342	2.66451	-0.06289	2.41752
343	2.66463	-0.06027	2.31404
344	2.66643	-0.06024	2.31149
345	2.66298	-0.05404	2.07142
346	2.66674	-0.06787	2.61152
347	2.66655	-0.06677	2.56828
348	2.66634	-0.06564	2.52381
349	2.66695	-0.06534	2.51135
350	2.66582	-0.06604	2.54023
351	2.66557	-0.04840	1.84946
352	2.66643	-0.06939	2.67205
353	2.66749	-0.05032	1.92284
354	2.66680	-0.05969	2.28967
355	2.76792	-0.17362	6.69250
356	2.66112	-0.06408	2.46757
357	2.66621	-0.04721	1.80273
358	2.66609	-0.06813	2.62259
359	2.66557	-0.06304	2.42222
360	2.66735	-0.06024	2.31065
361	2.66469	-0.06033	2.31641
362	2.66725	-0.05831	2.23512
363	2.66609	-0.05990	2.29845
364	2.66606	-0.05896	2.26148
365	2.66582	-0.06238	2.39597
366	2.66680	-0.07433	2.86730
367	2.66426	-0.06539	2.51614
368	2.66521	-0.06268	2.40848
369	2.66689	0.41517	13.47051
370	2.76439	-0.15728	6.03291
371	2.66695	-0.06533	2.51122
372	2.66618	-0.07098	2.73492
373	2.66708	-0.06546	2.51618
374	2.66701	-0.06539	2.51358
375	2.66616	-0.05722	2.19324
376	2.66591	-0.06796	2.61578
377	2.66466	-0.05664	2.17174
378	2.66688	-0.06161	2.36479
379	2.66640	-0.07027	2.70689
380	2.66410	-0.05425	2.07868
381	2.66643	-0.06390	2.45519
382	2.66465	-0.05389	2.06409
383	2.66655	-0.07317	2.82152
384	2.68711	0.04170	1.52823
385	2.74061	-0.15363	5.93874
386	2.66618	-0.06183	2.37393
387	2.66634	-0.05832	2.23619
388	2.66658	-0.06497	2.49727
389	2.66674	-0.06055	2.32318
390	2.66542	-0.05741	2.20110
391	2.66481	-0.05954	2.28523
392	2.66542	-0.06747	2.59702
393	2.66679	-0.05877	2.25361
394	2.66631	-0.06561	2.52285
395	2.66567	-0.06680	2.57028
396	2.66503	-0.06250	2.40142
397	2.66582	-0.05963	2.28811
398	2.66640	-0.07211	2.77952
399	2.75974	-0.15629	6.00336
400	2.67018	-0.07315	2.81651
401	2.66680	-0.06518	2.50551
402	2.66625	-0.06921	2.66498
403	2.66680	-0.06244	2.39754
404	2.66237	-0.06899	2.66015
405	2.66551	-0.07397	2.85414
406	2.66628	-0.07473	2.88359
407	2.66405	-0.04962	1.89800
408	2.66567	-0.06131	2.35403
409	2.66652	-0.05576	2.13572
410	2.66414	-0.06161	2.36722
411	2.66671	-0.05503	2.10705
412	2.66621	-0.07009	2.69967
413	2.66497	0.40428	13.17186
414	2.76450	-0.16930	6.52341
415	2.66478	-0.06134	2.35609
416	2.66655	-0.06311	2.42393
417	2.66545	-0.07116	2.74296
418	2.66628	-0.06284	2.41364
419	2.66714	-0.06644	2.55462
420	2.66502	-0.06158	2.36516
421	2.66643	-0.07214	2.78066
422	2.66582	-0.05963	2.28815
423	2.66612	-0.07091	2.73245
424	2.66613	-0.06268	2.40763
425	2.66588	-0.05969	2.29035
426	2.66353	-0.06283	2.41591
427	2.66582	-0.05780	2.21629
428	2.71877	-0.12081	4.65033
429	2.66412	-0.07074	2.72776
430	2.66594	-0.06432	2.47244
431	2.66479	-0.05677	2.17669
432	2.66407	-0.05880	2.25694
433	2.66558	-0.08226	3.18444
434	2.66616	-0.05905	2.26499
435	2.66670	-0.05502	2.10684
436	2.66530	-0.06643	2.55614
437	2.66466	-0.06579	2.53160
438	2.66619	-0.07006	2.69879
439	2.66469	-0.06582	2.53279
440	2.66484	-0.07421	2.86444
441	2.66591	-0.06522	2.50762
442	2.66655	-0.06676	2.56802
443	2.71919	-0.11483	4.40920
444	2.66699	-0.07544	2.91094
445	2.66310	-0.05874	2.25540
446	2.66551	-0.07488	2.89047
447	2.66603	-0.06259	2.40413
448	2.66557	-0.05572	2.13516
449	2.66512	-0.06625	2.54916
450	2.66564	-0.06585	2.53303
451	2.66316	-0.07253	2.79956
452	2.66649	-0.07220	2.78303
453	2.66356	-0.07567	2.92409
454	2.66652	-0.07223	2.78405
455	2.66625	-0.08294	3.21047
456	2.66584	0.41804	13.55565
457	2.76316	-0.15606	5.98582
458	2.66643	-0.06574	2.52762
459	2.66396	-0.06418	2.46851
460	2.66585	-0.06606	2.54116
461	2.66677	-0.07613	2.93884
462	2.66444	-0.06191	2.37901
463	2.66662	-0.06958	2.67917
464	2.66549	-0.06204	2.38304
465	2.66530	-0.05636	2.16031
466	2.66671	-0.06967	2.68263
467	2.66475	-0.06862	2.64333
468	2.66548	-0.05746	2.20328
469	2.66512	-0.06076	2.33301
470	2.66460	-0.06939	2.67376
471	2.71306	0.07707	2.76207
472	2.71766	-0.12794	4.94038
473	2.66459	-0.05383	2.06181
474	2.66627	-0.07564	2.91963
475	2.66741	-0.07404	2.85481
476	2.66484	-0.07146	2.75563
477	2.66600	-0.08544	3.31080
478	2.66423	-0.06902	2.65960
479	2.66551	-0.05200	1.98983
480	2.66676	-0.05874	2.25247
481	2.66320	-0.06250	2.40314
482	2.66487	-0.06692	2.57571
483	2.66484	-0.06323	2.43033
484	2.67849	-0.08877	3.42776
485	2.75104	-0.14943	5.74363
486	2.66671	-0.07059	2.71888
487	2.66723	-0.07385	2.84755
488	2.66591	-0.05881	2.25571
489	2.66618	-0.06640	2.55402
490	2.66771	-0.06518	2.50459
491	2.66515	-0.08458	3.27777
492	2.66494	-0.05966	2.29005
493	2.66621	-0.06917	2.66349
494	2.66546	-0.07574	2.92458
495	2.66680	-0.08166	3.15867
496	2.66713	-0.06735	2.59054
497	2.66554	-0.06668	2.56554
498	2.66454	-0.06750	2.59915
499	2.71325	-0.11804	4.54831
500	2.71873	0.35052	11.42026
501	2.66676	-0.06058	2.32428
502	2.66548	-0.05655	2.16753
503	2.66435	-0.06914	2.66426
504	2.66451	-0.05832	2.23784
505	2.66334	-0.05257	2.01377
506	2.66582	-0.05872	2.25216
507	2.66619	-0.08562	3.31787
508	2.66485	-0.06598	2.53867
509	2.66612	-0.05719	2.19198
510	2.66540	-0.06836	2.63215
511	2.66515	-0.06079	2.33410
512	2.66597	-0.06619	2.54590
513	2.66670	-0.05960	2.28604
514	2.76558	-0.17678	6.82856
515	2.66477	-0.05859	2.24793
516	2.66118	-0.04767	1.82391
517	2.66496	-0.08256	3.19715
518	2.66582	-0.06695	2.57630
519	2.66575	-0.07512	2.89977
520	2.66478	-0.06500	2.50015
521	2.66377	-0.06673	2.56954
522	2.66375	-0.05939	2.28025
523	2.66704	-0.05719	2.19121
524	2.66576	-0.05683	2.17819
525	2.66499	-0.06979	2.68901
526	2.66591	-0.06613	2.54349
527	2.66631	-0.06927	2.66739
528	2.71760	-0.12422	4.79001
529	2.71293	0.36729	11.92415
530	2.66664	-0.06686	2.57164
531	2.66701	-0.05258	2.01115
532	2.66655	-0.05121	1.95788
533	2.66474	-0.05855	2.24662
534	2.66664	-0.06960	2.68007
535	2.66688	-0.06984	2.68933
536	2.66685	-0.06249	2.39962
537	2.66558	-0.07128	2.74767
538	2.66536	-0.07839	3.03028
539	2.66591	-0.06064	2.32746
540	2.66505	-0.04971	1.90083
541	2.66759	-0.06049	2.32018
542	2.66704	-0.04804	1.83427
543	2.74510	-0.13433	5.14526
544	2.68379	-0.08126	3.12252
545	2.66536	-0.06466	2.48633
546	2.66716	-0.07470	2.88144
547	2.66494	-0.06973	2.68677
548	2.66640	-0.06570	2.52631
549	2.66600	-0.07537	2.90937
550	2.66508	-0.08177	3.16536
551	2.66759	-0.05316	2.03350
552	2.66539	-0.04913	1.87786
553	2.66615	-0.05996	2.30069
554	2.66487	-0.07789	3.01098
555	2.66536	-0.06100	2.34217
556	2.66657	-0.07411	2.85869
557	2.66716	-0.06463	2.48331
558	2.76476	0.28526	9.35276
559	2.66636	-0.06474	2.48855
560	2.66374	-0.05206	1.99341
561	2.66616	-0.06820	2.62521
562	2.66637	-0.05194	1.98683
563	2.66454	-0.06293	2.41870
564	2.66621	-0.07741	2.99020
565	2.66478	-0.05585	2.14062
566	2.66728	-0.07024	2.70475
567	2.66655	-0.06128	2.35211
568	2.66423	-0.06902	2.65964
569	2.66545	-0.06659	2.56211
570	2.66631	-0.06103	2.34275
571	2.66487	-0.06783	2.61194
572	2.68439	-0.10016	3.87577
573	2.70219	-0.08136	3.10443
574	2.66714	-0.05729	2.19497
575	2.66494	-0.06424	2.47005
576	2.66456	-0.05745	2.20376
577	2.66561	-0.05576	2.13642
578	2.66576	-0.03761	1.43101
579	2.66649	-0.06579	2.52982
580	2.66472	-0.05212	1.99507
581	2.66609	-0.06082	2.33451
582	2.66665	-0.07053	2.71655
583	2.66780	-0.04971	1.89890
584	2.66597	-0.07809	3.01739
585	2.66570	-0.06774	2.60755
586	2.66622	-0.06827	2.62772
587	2.72001	0.35106	11.43120
588	2.66582	-0.06695	2.57608
589	2.66591	-0.05423	2.07656
590	2.66570	-0.06317	2.42711
591	2.66702	-0.06174	2.36986
592	2.66490	-0.05780	2.21684
593	2.66677	-0.06333	2.43236
594	2.66689	-0.07900	3.05263
595	2.66506	-0.05063	1.93655
596	2.66636	-0.06566	2.52488
597	2.66713	-0.07650	2.95290
598	2.66734	-0.07762	2.99726
599	2.66606	-0.07177	2.76638
600	2.66691	-0.05615	2.15064
601	2.67324	-0.08261	3.18864
602	2.75625	-0.16013	6.16804
603	2.66680	-0.07342	2.83102
604	2.66496	-0.06975	2.68770
605	2.66741	-0.05481	2.09806
606	2.66701	-0.07271	2.80288
607	2.66560	-0.06490	2.49561
608	2.66429	-0.05169	1.97861
609	2.66702	-0.05900	2.26210
610	2.66710	-0.07006	2.69767
611	2.66423	-0.05438	2.08382
612	2.66554	-0.06301	2.42128
613	2.66524	-0.06454	2.48164
614	2.66662	-0.05951	2.28272
615	2.66637	-0.06475	2.48893
616	2.72626	0.36586	11.83188
617	2.70440	-0.10736	4.13389
618	2.66582	-0.06146	2.35995
619	2.66502	-0.05883	2.25745
620	2.66613	-0.05994	2.29989
621	2.66615	-0.06729	2.58903
622	2.66643	-0.06024	2.31149
623	2.66713	-0.05545	2.12322
624	2.66502	-0.05608	2.14973
625	2.66753	-0.06226	2.38962
626	2.66494	-0.06332	2.43393
627	2.66539	-0.06286	2.41536
628	2.66689	-0.07077	2.72587
629	2.66731	-0.06479	2.48933
630	2.66686	-0.06067	2.32795
631	2.75587	-0.13413	5.11600
632	2.67460	-0.08397	3.24117
633	2.66707	-0.07003	2.69662
634	2.66704	-0.07824	3.02219
635	2.66610	-0.06814	2.62302
636	2.66505	-0.06619	2.54670
637	2.66619	-0.05817	2.23038
638	2.66658	-0.06405	2.46118
639	2.66731	-0.07394	2.85094
640	2.66493	-0.04959	1.89621
641	2.66533	-0.06005	2.30503
642	2.66680	-0.06884	2.64991
643	2.66555	-0.06119	2.34947
644	2.66679	-0.05511	2.11030
645	2.66506	0.40418	13.16888
646	2.76410	-0.16615	6.39540
647	2.66686	-0.07165	2.76093
648	2.66518	-0.07455	2.87761
649	2.66655	-0.06036	2.31604
650	2.66573	-0.07144	2.75361
651	2.66573	-0.06777	2.60874
652	2.66576	-0.06872	2.64617
653	2.66426	-0.05258	2.01333
654	2.66380	-0.05670	2.17473
655	2.66634	-0.07113	2.74082
656	2.66548	-0.06479	2.49108
657	2.66628	-0.05734	2.19796
658	2.66573	-0.06137	2.35627
659	2.66362	-0.06567	2.52774
660	2.69797	0.37768	12.27964
661	2.73000	-0.14029	5.41700
662	2.66518	-0.06539	2.51535
663	2.66750	-0.06222	2.38839
664	2.66338	-0.04986	1.90796
665	2.66399	-0.06146	2.36152
666	2.66643	-0.06115	2.34730
667	2.66512	-0.05893	2.26114
668	2.66649	-0.05481	2.09875
669	2.66441	-0.06372	2.44997
670	2.66377	-0.05850	2.24545
671	2.66344	-0.05633	2.16068
672	2.66548	-0.05471	2.09564
673	2.66432	-0.05356	2.05149
674	2.66521	-0.06268	2.40852
675	2.76236	-0.14428	5.51083
676	2.66350	-0.05365	2.05558
677	2.66545	-0.06293	2.41786
678	2.66512	-0.05893	2.26113
679	2.66182	-0.05746	2.20615
680	2.66689	-0.06710	2.58110
681	2.66481	-0.06594	2.53744
682	2.66582	-0.05963	2.28807
683	2.66459	-0.05291	2.02604
684	2.66432	-0.06454	2.48256
685	2.66301	-0.07329	2.83006
686	2.66533	-0.06097	2.34112
687	2.66398	-0.05688	2.18169
688	2.66494	-0.06698	2.57830
689	2.76714	0.30393	9.89670
690	2.66157	-0.06636	2.55701
691	2.66591	-0.07070	2.72428
692	2.66539	-0.06469	2.48753
693	2.66356	-0.07110	2.74247
694	2.66478	-0.06317	2.42796
695	2.66503	-0.06158	2.36546
696	2.66320	-0.05884	2.25913
697	2.66539	-0.06194	2.37928
698	2.66353	-0.06008	2.30786
699	2.66356	-0.07110	2.74261
700	2.66441	-0.07103	2.73904
701	2.66460	-0.05200	1.99048
702	2.66387	-0.06774	2.60939
703	2.74955	-0.14336	5.50084
704	2.67979	-0.08549	3.29548
705	2.66337	-0.04620	1.76514
706	2.66554	-0.05112	1.95516
707	2.66434	-0.06731	2.59166
708	2.66642	-0.06938	2.67168
709	2.66576	-0.06597	2.53757
710	2.66572	-0.06411	2.46412
711	2.66582	-0.05871	2.25208
712	2.66609	-0.05990	2.29853
713	2.66478	-0.06042	2.31999
714	2.66686	-0.05243	2.00547
715	2.66558	-0.06396	2.45853
716	2.66540	-0.06287	2.41558
717	2.66392	-0.07238	2.79275
718	2.71746	0.35910	11.67222
719	2.66486	-0.06416	2.46718
720	2.66468	-0.07405	2.85847
721	2.66609	-0.05807	2.22654
722	2.66597	-0.06435	2.47355
723	2.66603	-0.06075	2.33186
724	2.66493	-0.06240	2.39766
725	2.66487	-0.06051	2.32333
726	2.66381	-0.06951	2.67949
727	2.66643	-0.05841	2.23969
728	2.66643	-0.06664	2.56345
729	2.66363	-0.06750	2.60015
730	2.66627	-0.06100	2.34139
731	2.71912	-0.12849	4.95983
732	2.66319	-0.06524	2.51111
733	2.66512	-0.05801	2.22515
734	2.66469	-0.06125	2.35249
735	2.66503	-0.04969	1.89982
736	2.66612	-0.06268	2.40755
737	2.66558	-0.05847	2.24275
738	2.66536	-0.06466	2.48621
739	2.66451	-0.06381	2.45348
740	2.66408	-0.05240	2.00638
741	2.66527	-0.05725	2.19520
742	2.66475	-0.07686	2.97008
743	2.66371	-0.06759	2.60341
744	2.66682	-0.06155	2.36254
745	2.76270	-0.16658	6.41645
746	2.66567	-0.06772	2.60659
747	2.66700	0.40773	13.26071
748	2.66585	-0.07064	2.72183
749	2.66511	-0.06990	2.69347
750	2.66603	-0.05892	2.26006
751	2.66450	-0.06929	2.66995
752	2.66502	-0.04693	1.79264
753	2.66474	-0.06679	2.57085
754	2.66551	-0.06573	2.52834
755	2.66600	-0.07171	2.76416
756	2.66432	-0.05173	1.98000
757	2.66408	-0.05697	2.18537
758	2.66661	-0.07415	2.86022
759	2.73760	-0.13873	5.33801
760	2.68787	-0.08168	3.13408
761	2.66667	-0.06964	2.68133
762	2.66558	-0.07037	2.71144
763	2.66475	-0.06954	2.67974
764	2.66560	-0.04569	1.74386
765	2.66283	-0.06304	2.42492
766	2.66435	-0.06091	2.33947
767	2.66390	-0.06777	2.61057
768	2.66368	-0.07213	2.78321
769	2.66429	-0.05718	2.19331
770	2.66667	-0.06048	2.32061
771	2.66226	-0.05058	1.93685
772	2.73533	-0.13463	5.17686
773	2.69371	-0.09209	3.53983
774	2.66661	-0.06591	2.53439
775	2.66396	-0.05319	2.03746
