#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
768	2.85217	-0.26063	10.05676
769	2.85339	-0.24629	9.44685
770	2.85834	-0.25215	9.67522
771	2.84923	-0.23755	9.09570
772	2.84864	-0.24794	9.53361
773	2.92945	-0.32784	12.60127
774	2.85822	-0.25752	9.90190
775	2.85273	-0.24197	9.26807
776	2.85266	0.21658	7.05654
777	2.85763	-0.24504	9.37912
778	2.85646	-0.25394	9.75728
779	2.85314	-0.25519	9.82278
780	2.85654	-0.25309	9.72141
781	2.85588	-0.24878	9.54227
782	2.85289	-0.24395	9.35065
783	2.85667	-0.25414	9.76510
784	2.85387	-0.25957	10.00560
785	2.85288	-0.24944	9.58111
786	2.85667	-0.26421	10.19131
787	2.92157	-0.31264	11.98325
788	2.85687	-0.24976	9.58015
789	2.85715	-0.24090	9.20764
790	2.86004	-0.26483	10.20459
791	2.85896	-0.25003	9.58356
792	2.85514	-0.25078	9.62916
793	2.85621	-0.25093	9.63166
794	2.86018	-0.24850	9.51503
795	2.85672	-0.24321	9.30595
796	2.85701	-0.25539	9.81675
797	2.85547	-0.24105	9.21987
798	2.85860	-0.25424	9.76211
799	2.85655	-0.26683	10.30359
800	2.85729	-0.26117	10.06000
801	2.85366	-0.25845	9.95892
802	2.92569	-0.33049	12.73450
803	2.85647	-0.25669	9.87350
804	2.85783	-0.25255	9.69398
805	2.85481	0.22359	7.26309
806	2.85891	-0.26461	10.19980
807	2.85822	-0.24928	9.55495
808	2.85393	-0.24225	9.27578
809	2.85617	-0.25547	9.82313
810	2.85673	-0.24780	9.49806
811	2.85682	-0.25887	9.96421
812	2.85380	-0.25127	9.65499
813	2.85809	-0.26288	10.12946
814	2.85402	-0.24875	9.54792
815	2.85822	-0.27124	10.48498
816	2.85468	-0.25764	9.92044
817	2.92354	-0.30637	11.70621
818	2.85562	-0.25858	9.95687
819	2.85735	-0.25390	9.75255
820	2.85616	-0.15846	5.87399
821	2.85466	-0.25670	9.88098
822	2.85308	-0.25787	9.93656
823	2.85754	-0.24495	9.37559
824	2.85422	-0.25810	9.94168
825	2.85494	-0.23777	9.08504
826	2.85841	-0.27510	10.64925
827	2.85864	-0.25154	9.64807
828	2.85634	-0.25655	9.86831
829	2.85965	-0.25163	9.64817
830	2.85442	-0.25463	9.79439
831	2.92035	-0.32606	12.56842
