#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1	2.98412	-0.16837	5.97946
2	2.91186	0.22968	7.31109
3	2.89142	0.24005	7.66576
4	2.75330	0.39007	12.40933
5	2.68832	-0.06566	2.50366
6	2.52954	0.07757	2.97516
7	2.55594	0.04109	1.58234
8	2.55103	0.04967	1.90987
9	2.53753	0.04761	1.84175
10	2.54519	0.05002	1.92724
11	2.54980	0.04449	1.71494
12	2.53846	0.06590	2.53052
13	2.52991	0.06347	2.44742
14	2.52867	0.06470	2.49499
15	2.54126	0.05029	1.94063
16	2.52530	0.07814	3.00145
17	2.54524	0.05728	2.20112
18	2.55507	0.04014	1.54668
19	2.68465	-0.08578	3.30077
20	2.59425	0.49512	16.02665
21	2.54464	0.06613	2.53287
22	2.54800	0.05361	2.06073
23	2.55261	0.03894	1.50245
24	2.53758	0.06586	2.52970
25	2.53419	0.05736	2.21322
26	2.53482	0.07046	2.70445
27	2.54767	0.07041	2.68948
28	2.53384	0.06869	2.63938
29	2.53567	0.06961	2.67181
30	2.53658	0.05314	2.05179
31	2.53167	0.06537	2.51697
32	2.53905	0.06257	2.40498
33	2.51540	0.08621	3.31377
34	2.73443	-0.13922	5.36469
35	2.52223	0.28620	10.19064
36	2.52929	0.07507	2.88237
37	2.54647	0.05698	2.18858
38	2.55078	0.03619	1.39912
39	2.52100	0.07512	2.89365
40	2.55323	0.04381	1.68704
41	2.54219	0.05668	2.18100
42	2.54431	0.05455	2.09916
43	2.54556	0.05331	2.05134
44	2.53634	0.06618	2.54310
45	2.54710	0.05452	2.09551
46	2.54647	0.07162	2.73554
47	2.54003	0.06250	2.40136
48	2.57412	0.01560	0.60234
49	2.71051	-0.11348	4.36946
50	2.54433	0.04082	1.57888
51	2.54310	0.06492	2.48929
52	2.51824	0.08063	3.10236
53	2.54463	0.04967	1.91443
54	2.53759	0.07318	2.80298
55	2.53819	0.06800	2.60924
56	2.52837	0.06776	2.60994
57	2.53665	0.06588	2.53123
58	2.52775	0.07020	2.70210
59	2.53020	0.06134	2.36705
60	2.52868	0.08026	3.07626
61	2.54249	0.05729	2.20363
62	2.53174	0.06896	2.65142
63	2.70314	-0.09786	3.75633
64	2.60942	0.46257	15.05753
65	2.54617	0.05911	2.26881
66	2.55169	0.05633	2.15993
67	2.53788	0.06465	2.48409
68	2.53973	0.05456	2.10320
69	2.53726	0.05428	2.09469
70	2.54985	0.04444	1.71303
71	2.53482	0.07137	2.73860
72	2.54433	0.06186	2.37366
73	2.55476	0.05418	2.07661
74	2.54003	0.06891	2.64124
75	2.53175	0.06254	2.41082
76	2.52836	0.08057	3.08838
77	2.52684	0.09033	3.45136
78	2.73996	-0.14567	5.61501
79	2.55022	0.05140	1.97554
80	2.53665	0.04758	1.84104
81	2.53513	0.07015	2.69254
82	2.54922	0.06063	2.32307
83	2.54342	0.04905	1.89193
84	2.53174	0.06804	2.61712
85	2.54464	0.06155	2.36185
86	2.53573	0.05399	2.08480
87	2.54648	0.06337	2.42824
88	2.51916	0.09435	3.61005
89	2.53359	0.06345	2.44318
90	2.55231	0.05388	2.06752
91	2.54524	0.05729	2.20116
92	2.54988	0.07003	2.67307
93	2.76268	0.33311	10.75999
94	2.54309	0.06127	2.35245
95	2.53205	0.07414	2.84486
96	2.53635	0.06893	2.64576
97	2.53206	0.06498	2.50213
98	2.53328	0.06650	2.55802
99	2.52959	0.07752	2.97326
100	2.52623	0.08362	3.20399
101	2.55045	0.07038	2.68530
102	2.54833	0.05603	2.15149
103	2.52990	0.05982	2.30999
104	2.52960	0.07384	2.83638
105	2.54739	0.04782	1.84246
106	2.53297	0.06132	2.36373
107	2.61254	-0.02191	0.84580
108	2.68161	-0.06993	2.67748
109	2.54494	0.05850	2.24708
110	2.52069	0.09190	3.51771
111	2.53850	0.06769	2.59741
112	2.55077	0.05359	2.05767
113	2.53420	0.06741	2.59118
114	2.51917	0.08519	3.27107
115	2.54156	0.08111	3.09247
116	2.54340	0.05729	2.20302
117	2.52745	0.08332	3.19124
118	2.54065	0.05914	2.27468
119	2.54095	0.06524	2.50332
120	2.53451	0.06253	2.40771
121	2.54402	0.06857	2.62474
122	2.72149	0.33952	11.09164
123	2.57665	0.02680	1.02925
124	2.52040	0.08854	3.39368
125	2.53910	0.05794	2.23093
126	2.54280	0.05424	2.08845
127	2.51701	0.08277	3.18382
128	2.53236	0.08115	3.10521
129	2.54156	0.06920	2.65068
130	2.51701	0.09284	3.55722
131	2.53942	0.05945	2.28756
132	2.53205	0.07505	2.87884
133	2.53114	0.06224	2.40001
134	2.54524	0.05363	2.06343
135	2.53389	0.07504	2.87629
136	2.55983	0.03812	1.46732
137	2.62975	-0.02265	0.86870
138	2.52622	0.07906	3.03457
139	2.54218	0.05578	2.14690
140	2.52837	0.08880	3.39317
141	2.54710	0.04628	1.78460
142	2.54586	0.06399	2.45198
143	2.53236	0.06193	2.38733
144	2.53389	0.05674	2.19010
145	2.54739	0.06429	2.46170
146	2.51181	0.07974	3.07675
147	2.52468	0.07602	2.92319
148	2.54188	0.06156	2.36471
149	2.55536	0.05266	2.01911
150	2.53050	0.06014	2.32132
151	2.65257	0.43498	14.08814
152	2.52438	0.07815	3.00283
153	2.54556	0.05148	1.98225
154	2.54462	0.05516	2.12182
155	2.51120	0.09408	3.61108
156	2.54616	0.05362	2.06249
157	2.53757	0.06129	2.35851
158	2.54463	0.05607	2.15592
159	2.55108	0.05968	2.28599
160	2.51763	0.09222	3.53363
161	2.53941	0.07319	2.80133
162	2.54618	0.04903	1.88936
163	2.53389	0.07504	2.87627
