#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
185	2.58959	0.00561	0.21632
186	2.58734	0.02708	1.03582
187	2.58756	0.01314	0.50524
188	2.59042	0.02492	0.95298
189	2.59053	0.02664	1.01807
190	2.58770	0.01483	0.56979
191	2.58772	0.01847	0.70869
192	2.58887	0.01183	0.45473
193	2.59002	0.00885	0.34035
194	2.59093	0.00519	0.19991
195	2.76363	-0.15195	5.81801
196	2.59095	0.01524	0.58475
197	2.59086	0.01807	0.69264
198	2.58846	0.00492	0.18981
199	2.58853	0.00851	0.32755
200	2.58974	0.01187	0.45622
201	2.58926	0.01602	0.61485
202	2.58875	0.01012	0.38946
203	2.58983	0.00995	0.38267
204	2.58968	0.01742	0.66821
205	2.58891	0.02186	0.83726
206	2.58847	0.01772	0.67975
207	2.58934	0.01868	0.71613
208	2.58854	0.02497	0.95537
209	2.63532	0.40830	13.41501
210	2.71871	-0.13082	5.05506
211	2.58799	0.02094	0.80270
212	2.58916	0.01703	0.65347
213	2.59008	0.00879	0.33826
214	2.59021	0.02330	0.89135
215	2.58976	0.00637	0.24527
216	2.58797	0.02371	0.90771
217	2.58806	0.00532	0.20502
218	2.58921	0.00874	0.33642
219	2.59045	0.00384	0.14811
220	2.58868	0.00744	0.28674
221	2.58971	0.00824	0.31717
222	2.58922	0.00507	0.19542
223	2.58770	0.00750	0.28912
224	2.74949	0.33256	10.79031
225	2.60642	0.00526	0.20147
226	2.58916	0.00971	0.37350
227	2.58842	0.01411	0.54202
228	2.58912	0.01798	0.68970
229	2.59108	-0.00136	0.05268
230	2.58943	0.01127	0.43339
231	2.59012	0.01150	0.44195
232	2.58973	0.01555	0.59674
233	2.58863	0.01390	0.53397
234	2.58866	0.00288	0.11127
235	2.58935	0.01593	0.61134
236	2.58972	-0.00000	0.00004
237	2.58959	0.01202	0.46221
238	2.58996	0.00799	0.30753
239	2.76344	-0.14352	5.47801
240	2.58997	0.01347	0.51743
241	2.58833	0.00505	0.19463
242	2.58771	0.00109	0.04223
243	2.59014	0.00598	0.23041
244	2.59055	0.01289	0.49518
245	2.59151	0.00736	0.28325
246	2.58768	0.02217	0.84946
247	2.58931	0.01688	0.64768
248	2.59068	0.00819	0.31495
249	2.59027	0.02782	1.06251
250	2.58771	0.02489	0.95265
251	2.58937	0.02322	0.88887
252	2.58885	0.01642	0.63040
253	2.65216	0.43813	14.17772
254	2.70287	-0.10126	3.89201
255	2.58850	0.00671	0.25857
256	2.58954	0.01756	0.67357
257	2.58990	0.01080	0.41522
258	2.58690	0.03851	1.46686
259	2.58774	0.02303	0.88201
260	2.58913	0.02163	0.82864
261	2.58913	0.00699	0.26926
262	2.58768	0.00753	0.29015
263	2.58894	0.01359	0.52203
264	2.58755	0.01224	0.47064
265	2.58977	0.02099	0.80405
266	2.58750	0.01778	0.68239
267	2.58953	0.03221	1.22863
268	2.76531	-0.15912	6.10565
269	2.58829	0.00509	0.19613
270	2.59051	0.01751	0.67121
271	2.58917	0.00787	0.30285
272	2.58960	0.02300	0.88026
273	2.58870	0.02389	0.91460
274	2.58669	0.01676	0.64364
275	2.58855	0.01672	0.64181
276	2.59043	0.01484	0.56962
277	2.59090	0.00156	0.06027
278	2.58914	-0.00034	0.01303
279	2.58881	0.01372	0.52711
280	2.58824	0.01978	0.75853
281	2.58940	0.00672	0.25882
282	2.66089	0.43123	13.94608
283	2.61463	-0.00112	0.04300
284	2.58826	0.01061	0.40820
285	2.58865	0.01754	0.67298
286	2.58871	0.00924	0.35581
287	2.59056	0.02844	1.08603
288	2.58780	0.01382	0.53111
289	2.59014	-0.00043	0.01644
290	2.59010	0.00236	0.09121
291	2.59001	0.01618	0.62065
292	2.59035	0.02133	0.81675
293	2.58874	0.01013	0.38980
294	2.58987	0.01998	0.76549
295	2.58930	0.01414	0.54310
296	2.58974	0.00272	0.10494
297	2.69023	-0.08953	3.44266
298	2.58929	0.02331	0.89213
299	2.58972	0.00274	0.10572
300	2.58830	0.00874	0.33656
301	2.58699	0.00913	0.35182
302	2.58811	0.01350	0.51891
303	2.58913	0.01706	0.65472
304	2.58740	0.01513	0.58131
305	2.58999	0.01162	0.44668
306	2.59049	0.00929	0.35744
307	2.59073	0.00630	0.24273
308	2.58947	0.00482	0.18579
309	2.58641	0.01887	0.72414
310	2.58830	-0.00225	0.08690
311	2.73940	0.34083	11.06503
312	2.61505	-0.00886	0.33994
313	2.58851	0.01585	0.60843
314	2.59031	0.01314	0.50465
315	2.58812	0.01990	0.76315
316	2.58974	0.01279	0.49141
317	2.59099	-0.00767	0.29706
318	2.58638	0.00700	0.26992
319	2.58804	0.01174	0.45157
320	2.58913	0.02255	0.86362
321	2.58771	0.00658	0.25380
322	2.59074	0.00447	0.17211
323	2.58903	0.00983	0.37843
324	2.58966	0.00372	0.14353
325	2.59841	0.00503	0.19334
326	2.75975	-0.16454	6.34006
327	2.59056	0.00465	0.17902
328	2.58944	0.01583	0.60767
329	2.58742	0.00412	0.15910
330	2.59003	0.01433	0.55034
331	2.58922	0.00690	0.26582
332	2.58820	0.00884	0.34031
333	2.59021	0.00408	0.15737
334	2.58935	0.01227	0.47156
335	2.58968	0.01193	0.45857
336	2.58934	0.02142	0.82049
337	2.58966	0.01195	0.45944
338	2.59033	0.01860	0.71300
339	2.58913	0.01889	0.72415
340	2.63831	0.45381	14.67626
341	2.71829	-0.11942	4.59524
342	2.58799	0.01363	0.52378
343	2.58811	0.01625	0.62401
344	2.58993	0.01626	0.62389
345	2.58643	0.02250	0.86246
346	2.59025	0.00862	0.33155
347	2.59006	0.00973	0.37420
348	2.58980	0.01089	0.41890
349	2.59048	0.01113	0.42778
350	2.58932	0.01046	0.40235
351	2.58907	0.02810	1.07366
352	2.58993	0.00711	0.27369
353	2.59101	0.02616	0.99974
354	2.59028	0.01683	0.64545
355	2.71537	-0.12108	4.66709
356	2.63894	-0.04190	1.61328
357	2.58968	0.02932	1.11954
358	2.58952	0.00844	0.32475
359	2.58900	0.01353	0.52002
360	2.59077	0.01634	0.62666
361	2.58810	0.01626	0.62426
362	2.59071	0.01822	0.69845
363	2.58954	0.01665	0.63896
364	2.58956	0.01754	0.67286
365	2.58932	0.01413	0.54270
366	2.59030	0.00216	0.08326
367	2.58773	0.01114	0.42851
368	2.58868	0.01385	0.53223
369	2.59042	0.49163	15.95135
370	2.76934	-0.16223	6.22267
371	2.58731	0.01430	0.54983
372	2.58971	0.00550	0.21179
373	2.59059	0.01102	0.42377
374	2.59051	0.01110	0.42674
375	2.58963	0.01930	0.73993
376	2.58943	0.00852	0.32791
377	2.58811	0.01991	0.76355
378	2.59035	0.01492	0.57281
379	2.58985	0.00628	0.24174
380	2.58744	0.02241	0.85859
381	2.58990	0.01263	0.48513
382	2.58807	0.02270	0.86934
383	2.58996	0.00342	0.13176
384	2.59780	0.13101	4.80114
385	2.75512	-0.16815	6.49973
386	2.58967	0.01469	0.56410
387	2.58986	0.01816	0.69635
388	2.59006	0.01156	0.44429
389	2.59027	0.01592	0.61073
390	2.58892	0.01910	0.73246
391	2.58826	0.01701	0.65298
392	2.58892	0.00904	0.34786
393	2.59033	0.01769	0.67817
394	2.58978	0.01092	0.41972
395	2.58919	0.00968	0.37251
396	2.58852	0.01401	0.53847
397	2.58931	0.01688	0.64778
398	2.58988	0.00441	0.17011
399	2.68956	-0.08612	3.30794
400	2.66572	-0.06868	2.64470
401	2.59030	0.01132	0.43501
402	2.58975	0.00729	0.28082
403	2.59031	0.01405	0.53937
404	2.58582	0.00756	0.29137
405	2.58901	0.00254	0.09803
406	2.58974	0.00180	0.06963
407	2.58753	0.02689	1.02857
408	2.58918	0.01518	0.58276
409	2.59002	0.02075	0.79460
410	2.58758	0.01495	0.57444
411	2.59025	0.02143	0.82061
412	2.58970	0.00642	0.24736
413	2.58846	0.48078	15.66450
414	2.76963	-0.17443	6.72111
415	2.58498	0.01846	0.70921
416	2.59005	0.01339	0.51431
417	2.58894	0.00535	0.20635
418	2.58976	0.01369	0.52576
419	2.59065	0.01005	0.38652
420	2.58853	0.01491	0.57270
421	2.58991	0.00439	0.16906
422	2.58935	0.01684	0.64617
423	2.58958	0.00562	0.21671
424	2.58963	0.01381	0.53049
425	2.58937	0.01682	0.64555
426	2.58704	0.01366	0.52528
427	2.58931	0.01871	0.71752
428	2.62570	-0.02775	1.06819
429	2.64851	-0.05513	2.12575
430	2.58941	0.01220	0.46907
431	2.58829	0.01973	0.75659
432	2.58754	0.01774	0.68088
433	2.58909	-0.00578	0.22368
434	2.58966	0.01745	0.66918
435	2.59017	0.02151	0.82349
436	2.58882	0.01004	0.38651
437	2.58811	0.01076	0.41411
438	2.58972	0.00640	0.24662
439	2.58815	0.01072	0.41250
440	2.58835	0.00228	0.08792
441	2.58941	0.01129	0.43421
442	2.59005	0.00973	0.37439
443	2.68749	-0.08313	3.19190
444	2.59049	0.00105	0.04065
445	2.58656	0.01780	0.68360
446	2.58901	0.00162	0.06245
447	2.58951	0.01394	0.53536
448	2.58906	0.02079	0.79671
449	2.58863	0.01024	0.39390
450	2.58913	0.01066	0.40990
451	2.58659	0.00404	0.15589
452	2.59000	0.00430	0.16566
453	2.58706	0.00083	0.03191
454	2.58998	0.00431	0.16606
455	2.58969	-0.00638	0.24681
456	2.58937	0.49451	16.03546
457	2.75404	-0.14694	5.63597
458	2.60089	-0.00019	0.00718
459	2.58742	0.01236	0.47539
460	2.58935	0.01043	0.40132
461	2.59025	0.00039	0.01491
462	2.58792	0.01461	0.56133
463	2.59013	0.00691	0.26595
464	2.58900	0.01445	0.55500
465	2.58878	0.02015	0.77244
466	2.59021	0.00683	0.26302
467	2.58821	0.00791	0.30475
468	2.58897	0.01905	0.73047
469	2.58862	0.01574	0.60443
470	2.58810	0.00711	0.27398
471	2.61295	0.17718	6.35008
472	2.74311	-0.15339	5.92309
473	2.58804	0.02273	0.87045
474	2.58978	0.00085	0.03299
475	2.59092	0.00246	0.09469
476	2.58833	0.00505	0.19481
477	2.58950	-0.00893	0.34620
478	2.58768	0.00753	0.29001
479	2.58900	0.02451	0.93790
480	2.59031	0.01771	0.67902
481	2.58663	0.01407	0.54082
482	2.58838	0.00958	0.36859
483	2.58833	0.01328	0.51055
484	2.59274	-0.00302	0.11665
485	2.76209	-0.16047	6.16820
486	2.59022	0.00591	0.22749
487	2.59076	0.00262	0.10101
488	2.58941	0.01769	0.67861
489	2.58969	0.01010	0.38832
490	2.59119	0.01134	0.43555
491	2.58867	-0.00810	0.31403
492	2.58842	0.01685	0.64687
493	2.58971	0.00732	0.28202
494	2.58895	0.00077	0.02971
495	2.59027	-0.00512	0.19822
496	2.59067	0.00911	0.35053
497	2.58904	0.00983	0.37835
498	2.58803	0.00901	0.34701
499	2.61333	-0.01813	0.69844
500	2.74399	0.32525	10.59702
501	2.59024	0.01595	0.61203
502	2.58897	0.01996	0.76506
503	2.58787	0.00734	0.28290
504	2.58798	0.01821	0.69869
505	2.58681	0.02395	0.91746
506	2.58932	0.01779	0.68226
507	2.58968	-0.00912	0.35335
508	2.58833	0.01054	0.40552
509	2.58962	0.01932	0.74051
510	2.58889	0.00815	0.31382
511	2.58860	0.01576	0.60504
512	2.58947	0.01031	0.39657
513	2.59023	0.01687	0.64717
514	2.73412	-0.14532	5.61338
515	2.62156	-0.01537	0.58984
516	2.58463	0.02888	1.10503
517	2.58844	-0.00604	0.23401
518	2.58932	0.00955	0.36750
519	2.58925	0.00138	0.05326
520	2.58826	0.01152	0.44321
521	2.58721	0.00983	0.37857
522	2.58725	0.01711	0.65701
523	2.59052	0.01933	0.74066
524	2.58929	0.01965	0.75315
525	2.58848	0.00673	0.25942
526	2.58941	0.01038	0.39912
527	2.58980	0.00724	0.27889
528	2.62068	-0.02731	1.05293
529	2.73517	0.34505	11.20215
530	2.59006	0.00973	0.37408
531	2.59041	0.02402	0.91870
532	2.58998	0.02536	0.96967
533	2.58815	0.01804	0.69221
534	2.59003	0.00701	0.26974
535	2.59033	0.00671	0.25818
536	2.59029	0.01407	0.54026
537	2.58907	0.00522	0.20134
538	2.58885	-0.00188	0.07256
539	2.58938	0.01589	0.60991
540	2.58856	0.02678	1.02387
541	2.59111	0.01599	0.61348
542	2.59055	0.02845	1.08647
543	2.66247	-0.05171	1.98058
544	2.69172	-0.08919	3.42710
545	2.58884	0.01186	0.45589
546	2.59067	0.00179	0.06904
547	2.58842	0.00679	0.26153
548	2.58991	0.01079	0.41493
549	2.58950	0.00113	0.04364
550	2.58859	-0.00528	0.20439
551	2.59107	0.02336	0.89349
552	2.58878	0.02748	1.05022
553	2.58956	0.01663	0.63808
554	2.58824	-0.00127	0.04919
555	2.58875	0.01561	0.59943
556	2.58999	0.00247	0.09521
557	2.59062	0.01191	0.45759
558	2.74053	0.30949	10.14727
559	2.61589	-0.01428	0.54881
560	2.58718	0.02450	0.93793
561	2.58968	0.00827	0.31834
562	2.58983	0.02459	0.94070
563	2.58806	0.01356	0.52111
564	2.58972	-0.00092	0.03539
565	2.58826	0.02068	0.79254
566	2.59078	0.00626	0.24086
567	2.59004	0.01524	0.58485
568	2.58774	0.00747	0.28777
569	2.58895	0.00992	0.38167
570	2.58977	0.01550	0.59499
571	2.58835	0.00869	0.33451
572	2.59641	-0.01218	0.47129
573	2.68157	-0.06074	2.31760
574	2.59065	0.01920	0.73581
575	2.58842	0.01228	0.47228
576	2.58805	0.01906	0.73098
577	2.58906	0.02079	0.79648
578	2.58929	0.03887	1.47880
579	2.58999	0.01071	0.41162
580	2.58817	0.02442	0.93486
581	2.58962	0.01565	0.60076
582	2.59016	0.00596	0.22973
583	2.59128	0.02681	1.02403
584	2.58946	-0.00158	0.06092
585	2.58922	0.00873	0.33597
586	2.58970	0.00826	0.31787
587	2.68969	0.38138	12.41860
588	2.58794	0.01092	0.42033
589	2.58943	0.02225	0.85192
590	2.58916	0.01337	0.51368
591	2.59053	0.01475	0.56611
592	2.58838	0.01873	0.71829
593	2.59032	0.01313	0.50424
594	2.59036	-0.00247	0.09546
595	2.58857	0.02585	0.98893
596	2.58975	0.01095	0.42110
597	2.59059	0.00004	0.00159
598	2.59073	-0.00102	0.03929
599	2.58947	0.00482	0.18573
600	2.59039	0.02038	0.78045
601	2.59156	-0.00092	0.03566
602	2.76310	-0.16698	6.43195
603	2.59029	0.00309	0.11897
604	2.58845	0.00675	0.26025
605	2.59087	0.02172	0.83147
606	2.59050	0.00379	0.14613
607	2.58906	0.01164	0.44760
608	2.58773	0.02487	0.95179
609	2.59054	0.01748	0.67026
610	2.59057	0.00646	0.24891
611	2.58775	0.02210	0.84692
612	2.58904	0.01349	0.51819
613	2.58872	0.01197	0.46045
614	2.59012	0.01699	0.65161
615	2.58984	0.01178	0.45267
616	2.63761	0.45451	14.69909
617	2.71843	-0.12139	4.67421
618	2.58928	0.01507	0.57884
619	2.58850	0.01769	0.67864
620	2.58966	0.01653	0.63424
621	2.58966	0.00921	0.35441
622	2.58993	0.01626	0.62395
623	2.59065	0.02103	0.80521
624	2.58844	0.02050	0.78572
625	2.59104	0.01424	0.54642
626	2.58841	0.01320	0.50745
627	2.58887	0.01366	0.52477
628	2.59040	0.00573	0.22058
629	2.59080	0.01173	0.45056
630	2.59039	0.01580	0.60611
631	2.68091	-0.05917	2.25677
632	2.67491	-0.08427	3.25299
633	2.59057	0.00647	0.24898
634	2.59055	-0.00175	0.06769
635	2.58960	0.00836	0.32168
636	2.58854	0.01033	0.39749
637	2.58967	0.01835	0.70375
638	2.59010	0.01243	0.47762
639	2.59080	0.00258	0.09939
640	2.58840	0.02694	1.03016
641	2.58880	0.01647	0.63224
642	2.59027	0.00768	0.29559
643	2.58907	0.01529	0.58711
644	2.59030	0.02138	0.81875
645	2.58849	0.48075	15.66348
646	2.73919	-0.14124	5.43649
647	2.61715	-0.02194	0.84547
648	2.58864	0.00200	0.07702
649	2.59006	0.01613	0.61908
650	2.58925	0.00504	0.19420
651	2.58918	0.00877	0.33760
652	2.58928	0.00775	0.29855
653	2.58774	0.02394	0.91682
654	2.58726	0.01985	0.76128
655	2.58985	0.00535	0.20630
656	2.58898	0.01172	0.45060
657	2.58977	0.01916	0.73449
658	2.58919	0.01517	0.58233
659	2.58713	0.01083	0.41680
660	2.60331	0.47234	15.35742
661	2.74998	-0.16026	6.18825
662	2.58867	0.01112	0.42759
663	2.59101	0.01426	0.54747
664	2.58684	0.02667	1.02034
665	2.58746	0.01506	0.57883
666	2.58993	0.01534	0.58897
667	2.58861	0.01758	0.67447
668	2.58997	0.02171	0.83113
669	2.58791	0.01279	0.49173
670	2.58724	0.01803	0.69211
671	2.58691	0.02020	0.77478
672	2.58897	0.02179	0.83466
673	2.58779	0.02297	0.87982
674	2.58871	0.01382	0.53117
675	2.76348	-0.14539	5.55326
676	2.58768	0.02217	0.84965
677	2.58894	0.01359	0.52207
678	2.58858	0.01761	0.67566
679	2.58526	0.01910	0.73324
680	2.59042	0.00936	0.36021
681	2.58830	0.01057	0.40680
682	2.58927	0.01692	0.64921
683	2.58810	0.02358	0.90277
684	2.58777	0.01202	0.46216
685	2.58650	0.00322	0.12415
686	2.58879	0.01557	0.59784
687	2.58746	0.01964	0.75351
688	2.58842	0.00954	0.36710
689	2.72128	0.34979	11.38984
690	2.63277	-0.03756	1.44731
691	2.58940	0.00581	0.22376
692	2.58886	0.01184	0.45525
693	2.58706	0.00540	0.20848
694	2.58823	0.01338	0.51446
695	2.58854	0.01490	0.57247
696	2.58666	0.01770	0.67957
