#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
48148	2.92150	-0.03345	1.15827
48149	2.92752	-0.00928	0.31786
48150	2.90959	-0.04076	1.42065
48151	2.91036	-0.07356	2.59302
48152	2.92061	-0.02341	0.80801
48153	2.92029	-0.04231	1.47013
48154	2.90771	-0.01600	0.55344
48155	2.90417	-0.03717	1.29649
48156	2.91536	-0.03554	1.23423
48157	2.91664	-0.02310	0.79846
48158	2.91074	-0.01812	0.62645
48159	2.91569	-0.04228	1.47145
48160	2.91649	-0.03301	1.14492
48161	2.91841	-0.02579	0.89144
48162	2.92060	-0.05360	1.86941
48163	2.92124	-0.04508	1.56753
48164	2.92151	-0.01516	0.52149
48165	2.91984	-0.04186	1.45432
48166	2.92234	-0.03064	1.05945
48167	2.92315	-0.01680	0.57806
48168	2.92848	-0.03585	1.23950
48169	2.91430	-0.04089	1.42306
48170	2.92695	-0.02609	0.89944
48171	2.91396	-0.04421	1.54059
48172	2.91204	-0.02765	0.95876
48173	2.92083	-0.02912	1.00703
48174	2.92025	-0.05599	1.95485
48175	2.91929	-0.04954	1.72636
48176	2.92220	-0.09272	3.27701
48177	2.92244	-0.05727	1.99898
48178	2.92173	-0.04375	1.52005
48179	2.92152	-0.03164	1.09485
48180	2.92462	-0.03108	1.07406
48181	2.93315	-0.05425	1.88451
48182	2.92078	-0.03822	1.32607
48183	2.92083	-0.02180	0.75185
48184	2.91452	-0.03013	1.04457
48185	2.92237	-0.03341	1.15631
48186	2.92791	-0.02888	0.99634
48187	2.91072	-0.04921	1.71964
48188	2.90859	-0.01963	0.67942
48189	2.92379	-0.02750	0.94958
48190	2.91891	-0.03269	1.13278
48191	2.92037	-0.02043	0.70433
48192	2.90750	-0.03958	1.38025
48193	2.91636	-0.02190	0.75676
48194	2.91920	-0.02749	0.95057
48195	2.92074	-0.06839	2.39751
48196	2.91999	-0.04750	1.65361
48197	2.92615	-0.04268	1.48020
48198	2.91218	-0.04243	1.47856
48199	2.90853	-0.05526	1.93659
48200	2.91680	-0.04431	1.54268
48201	2.92373	-0.07412	2.60101
48202	2.90842	-0.02494	0.86504
48203	2.91007	-0.02934	1.01846
48204	2.91797	-0.02718	0.94009
48205	2.91754	-0.02309	0.79766
48206	2.91964	-0.02610	0.90208
48207	2.92008	-0.02928	1.01300
48208	2.92334	-0.04536	1.57623
48209	2.92363	-0.03558	1.23213
48210	2.93240	-0.05625	1.95557
48211	2.92512	-0.04805	1.67024
48212	2.92961	-0.05712	1.98865
48213	2.92182	-0.01822	0.62736
48214	2.90846	-0.01493	0.51582
48215	2.90867	-0.03526	1.22720
48216	2.90809	-0.00906	0.31246
48217	2.92494	-0.05153	1.79340
48218	2.91731	-0.02194	0.75779
48219	2.91121	-0.02317	0.80216
48220	2.92374	-0.07321	2.56824
48221	2.91267	-0.02828	0.98060
48222	2.92283	-0.03753	1.30066
48223	2.91105	-0.04954	1.73112
48224	2.93037	-0.04415	1.52984
48225	2.92122	-0.04140	1.43772
48226	2.91569	-0.02947	1.02102
48227	2.92182	-0.04384	1.52314
