#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1239	2.85240	-0.23980	9.17866
1240	2.85240	-0.25261	9.71669
1241	2.85240	0.23332	7.56123
1242	2.85240	-0.25810	9.94890
1243	2.85240	-0.24072	9.21691
1244	2.85240	-0.24895	9.56243
1245	2.85240	-0.25627	9.87139
1246	2.85240	-0.24895	9.56243
1247	2.85240	-0.25353	9.75532
1248	2.85240	-0.24529	9.40859
1249	2.85240	-0.26725	10.33811
1250	2.85240	-0.24255	9.29350
1251	2.85240	-0.25444	9.79398
1252	2.85240	-0.25902	9.98770
1253	2.85240	-0.24621	9.44701
1254	2.85240	-0.24529	9.40859
1255	2.85240	-0.26176	10.10426
1256	2.85240	-0.15836	5.87798
1257	2.85240	-0.25353	9.75532
1258	2.85240	-0.24712	9.48546
1259	2.85240	-0.24712	9.48546
1260	2.85240	-0.24804	9.52393
1261	2.85240	-0.26451	10.22106
1262	2.85240	-0.24804	9.52393
1263	2.85240	-0.24895	9.56243
1264	2.85240	-0.25078	9.63950
1265	2.85240	-0.24987	9.60095
1266	2.85240	-0.24987	9.60095
1267	2.85240	-0.25810	9.94890
1268	2.85240	-0.23889	9.14043
1269	2.85240	-0.24712	9.48546
1270	2.85240	-0.13090	4.80991
1271	2.85240	-0.25810	9.94890
1272	2.85240	-0.24621	9.44701
1273	2.85240	-0.25627	9.87139
1274	2.85240	-0.25078	9.63950
1275	2.85240	-0.25444	9.79398
1276	2.85240	-0.23157	8.83556
1277	2.85240	-0.24804	9.52393
1278	2.85240	-0.24987	9.60095
1279	2.85240	-0.23431	8.94968
1280	2.85240	-0.25444	9.79398
1281	2.85240	-0.25261	9.71669
1282	2.85240	-0.25261	9.71669
1283	2.85240	-0.26542	10.26005
1284	2.85240	-0.26542	10.26005
1285	2.85240	0.22234	7.23108
1286	2.85240	-0.24987	9.60095
1287	2.85240	-0.23797	9.10223
1288	2.85240	-0.25444	9.79398
1289	2.85240	-0.24621	9.44701
1290	2.85240	-0.25536	9.83267
1291	2.85240	-0.25810	9.94890
1292	2.85240	-0.24895	9.56243
1293	2.85240	-0.25993	10.02652
1294	2.85240	-0.25444	9.79398
1295	2.85240	-0.25353	9.75532
1296	2.85240	-0.24712	9.48546
1297	2.85240	-0.24712	9.48546
1298	2.85240	-0.24346	9.33184
1299	2.85240	-0.25353	9.75532
1300	2.85240	-0.25261	9.71669
1301	2.85240	-0.26359	10.18210
1302	2.85240	-0.25353	9.75532
1303	2.85240	-0.26451	10.22106
1304	2.85240	-0.25170	9.67808
1305	2.85240	-0.25536	9.83267
1306	2.85240	-0.25261	9.71669
1307	2.85240	-0.25627	9.87139
1308	2.85240	-0.24438	9.37020
1309	2.85240	-0.26268	10.14316
1310	2.85240	-0.24346	9.33184
1311	2.85240	-0.25993	10.02652
1312	2.85240	-0.26359	10.18210
1313	2.85240	-0.25902	9.98770
1314	2.85240	-0.25444	9.79398
1315	2.85240	-0.24346	9.33184
1316	2.85240	-0.26085	10.06538
1317	2.85240	-0.24438	9.37020
1318	2.85240	-0.27000	10.45542
1319	2.85240	-0.26176	10.10426
1320	2.85240	-0.25627	9.87139
1321	2.85240	-0.26176	10.10426
1322	2.85240	-0.24072	9.21691
1323	2.85240	-0.25719	9.91013
1324	2.85240	-0.24712	9.48546
1325	2.85240	-0.26085	10.06538
1326	2.85240	-0.24895	9.56243
1327	2.85240	-0.26359	10.18210
