#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
69932	2.71975	-0.04493	1.67975
69933	2.71625	-0.02679	0.99601
69934	2.72200	-0.04351	1.62457
69935	2.72257	-0.03036	1.12775
69936	2.72366	-0.04609	1.72122
69937	2.72064	-0.03758	1.40064
69938	2.72370	-0.03881	1.44539
69939	2.72237	-0.03931	1.46502
69940	2.71653	-0.03896	1.45506
69941	2.72209	-0.04727	1.76711
69942	2.71662	-0.03996	1.49301
69943	2.72078	-0.03589	1.33674
69944	2.71920	-0.03889	1.45083
69945	2.72129	-0.04097	1.52862
69946	2.71798	-0.04591	1.71796
69947	2.72472	-0.04257	1.58724
69948	2.72201	-0.03712	1.38253
69949	2.72040	-0.03917	1.46099
69950	2.71997	-0.03142	1.16856
69951	2.71781	-0.03842	1.43373
69952	2.72012	-0.04621	1.72824
69953	2.72192	-0.03429	1.27568
69954	2.72829	-0.04981	1.85947
69955	2.72215	-0.05007	1.87374
69956	2.72059	-0.04302	1.60659
69957	2.71900	-0.03960	1.47800
69958	2.72078	-0.03589	1.33683
69959	2.72121	-0.03541	1.31827
69960	2.72141	-0.04018	1.49854
69961	2.71879	-0.03298	1.22812
69962	2.72180	-0.04697	1.75614
69963	2.72077	-0.05144	1.92713
69964	2.72053	-0.04296	1.60432
69965	2.71640	-0.03517	1.31158
69966	2.72500	-0.04286	1.59795
69967	2.72150	-0.03570	1.32903
69968	2.71881	-0.03484	1.29797
69969	2.71852	-0.02722	1.01159
69970	2.72046	-0.02733	1.01483
69971	2.71992	-0.03686	1.37383
69972	2.72024	-0.04176	1.55909
69973	2.72037	-0.05470	2.05194
69974	2.71896	-0.04688	1.75451
69975	2.71872	-0.03932	1.46767
69976	2.71921	-0.03341	1.24388
69977	2.71675	-0.02362	0.87715
69978	2.72139	-0.04565	1.70602
69979	2.71758	-0.03361	1.25214
69980	2.72369	-0.03789	1.41066
69981	2.71939	-0.04274	1.59660
69982	2.72563	-0.04532	1.69078
69983	2.72141	-0.04659	1.74177
69984	2.71633	-0.04700	1.76072
69985	2.71912	-0.03515	1.30949
69986	2.72199	-0.03253	1.20938
69987	2.71775	-0.04384	1.63954
69988	2.71828	-0.03431	1.27831
69989	2.72199	-0.05540	2.07774
69990	2.72221	-0.04464	1.66726
69991	2.72016	-0.04076	1.52130
69992	2.71805	-0.03774	1.40797
69993	2.71904	-0.04421	1.65290
69994	2.71910	-0.02689	0.99869
69995	2.71796	-0.03124	1.16280
69996	2.72105	-0.02884	1.07106
69997	2.71696	-0.03756	1.40198
69998	2.71820	-0.03880	1.44807
69999	2.72018	-0.05084	1.90476
70000	2.71976	-0.03304	1.22969
70001	2.72053	-0.04296	1.60429
70002	2.72087	-0.03873	1.44395
70003	2.71830	-0.03433	1.27891
70004	2.72113	-0.03990	1.48798
70005	2.71988	-0.02859	1.06213
70006	2.71581	-0.02817	1.04813
70007	2.71906	-0.03875	1.44573
70008	2.71408	-0.02187	0.81247
70009	2.71933	-0.04085	1.52511
70010	2.71742	-0.04168	1.55769
70011	2.71660	-0.03079	1.14645
70012	2.72071	-0.03948	1.47254
70013	2.72236	-0.03290	1.22320
70014	2.72005	-0.03424	1.27503
70015	2.71661	-0.04453	1.66657
70016	2.72191	-0.03976	1.48254
70017	2.72051	-0.03654	1.36130
70018	2.71544	-0.03878	1.44891
70019	2.71720	-0.04969	1.86288
70020	2.72443	-0.04778	1.78499
70021	2.71904	-0.03598	1.34099
70022	2.72026	-0.02530	0.93895
70023	2.72029	-0.04364	1.63030
70024	2.72315	-0.03277	1.21786
70025	2.72073	-0.04683	1.75119
70026	2.71654	-0.03897	1.45532
70027	2.71914	-0.03059	1.13775
70028	2.71919	-0.03796	1.41564
70029	2.71909	-0.03329	1.23944
70030	2.71849	-0.04550	1.70209
70031	2.72105	-0.03432	1.27758
70032	2.72321	-0.04290	1.60044
70033	2.71886	-0.03946	1.47269
70034	2.72045	-0.04380	1.63633
70035	2.71828	-0.03248	1.20919
70036	2.71848	-0.04457	1.66694
70037	2.71784	-0.03295	1.22731
70038	2.72228	-0.03373	1.25455
70039	2.72049	-0.03651	1.36032
70040	2.72213	-0.03175	1.18010
70041	2.72135	-0.04104	1.53100
70042	2.72050	-0.04568	1.70782
70043	2.71740	-0.04349	1.62643
70044	2.71652	-0.03620	1.35072
70045	2.71862	-0.04471	1.67207
70046	2.71687	-0.03564	1.32927
70047	2.71981	-0.03400	1.26595
70048	2.71647	-0.03341	1.24526
70049	2.72251	-0.04677	1.74800
70050	2.72077	-0.03862	1.44003
70051	2.71730	-0.02417	0.89761
70052	2.72058	-0.02471	0.91662
70053	2.72130	-0.05196	1.94666
70054	2.71866	-0.03285	1.22318
70055	2.72391	-0.04360	1.62650
70056	2.71640	-0.03791	1.41552
70057	2.71563	-0.04081	1.52559
70058	2.71380	-0.03989	1.49183
70059	2.71747	-0.04356	1.62921
70060	2.71433	-0.02029	0.75319
70061	2.72118	-0.03446	1.28262
70062	2.71650	-0.03710	1.38469
70063	2.72294	-0.04537	1.69432
70064	2.71914	-0.03150	1.17214
70065	2.71611	-0.03854	1.43941
70066	2.72209	-0.04910	1.83678
70067	2.72299	-0.04176	1.55766
70068	2.72177	-0.03871	1.44265
70069	2.72136	-0.03190	1.18599
