#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
181	2.60316	-0.00246	0.09468
182	2.60321	0.00390	0.14950
183	2.60299	-0.00778	0.29974
184	2.60310	-0.00057	0.02200
185	2.60314	-0.00793	0.30557
186	2.60345	0.01098	0.41998
187	2.60342	-0.00272	0.10474
188	2.60303	0.01231	0.47078
189	2.60302	0.01415	0.54074
190	2.60340	-0.00088	0.03363
191	2.60341	0.00278	0.10651
192	2.60325	-0.00255	0.09804
193	2.60309	-0.00422	0.16235
194	2.60296	-0.00684	0.26332
195	2.74873	-0.13705	5.24764
196	2.60297	0.00322	0.12341
197	2.60297	0.00597	0.22869
198	2.60331	-0.00993	0.38291
199	2.60330	-0.00626	0.24107
200	2.60312	-0.00151	0.05807
201	2.60320	0.00208	0.07970
202	2.60326	-0.00439	0.16888
203	2.60311	-0.00332	0.12780
204	2.60312	0.00398	0.15266
205	2.60323	0.00753	0.28844
206	2.60329	0.00290	0.11127
207	2.60317	0.00484	0.18576
208	2.60328	0.01023	0.39143
209	2.69680	0.34682	11.39511
210	2.65497	-0.06709	2.59235
211	2.60337	0.00556	0.21321
212	2.60321	0.00298	0.11444
213	2.60307	-0.00420	0.16165
214	2.60307	0.01044	0.39950
215	2.60313	-0.00701	0.26986
216	2.60336	0.00832	0.31846
217	2.60336	-0.00999	0.38503
218	2.60320	-0.00525	0.20205
219	2.60303	-0.00874	0.33671
220	2.60327	-0.00715	0.27534
221	2.60314	-0.00518	0.19958
222	2.60320	-0.00891	0.34325
223	2.60341	-0.00820	0.31600
224	2.74842	0.33364	10.82520
225	2.60310	0.00858	0.32847
226	2.60321	-0.00434	0.16712
227	2.60331	-0.00078	0.02993
228	2.60321	0.00390	0.14950
229	2.60295	-0.01323	0.51080
230	2.60317	-0.00247	0.09486
231	2.60307	-0.00146	0.05613
232	2.60314	0.00214	0.08199
233	2.60328	-0.00075	0.02870
234	2.60328	-0.01173	0.45274
235	2.60318	0.00209	0.08041
236	2.60313	-0.01342	0.51807
237	2.60315	-0.00153	0.05895
238	2.60392	-0.00597	0.22977
239	2.74794	-0.12802	4.88649
240	2.60310	0.00034	0.01316
241	2.60332	-0.00994	0.38344
242	2.60340	-0.01460	0.56405
243	2.60307	-0.00695	0.26774
244	2.60302	0.00043	0.01633
245	2.60288	-0.00401	0.15423
246	2.60341	0.00644	0.24662
247	2.60319	0.00300	0.11514
248	2.60300	-0.00413	0.15900
249	2.60305	0.01503	0.57427
250	2.60340	0.00919	0.35180
251	2.60318	0.00941	0.36022
252	2.60325	0.00203	0.07777
253	2.70780	0.38249	12.37728
254	2.64385	-0.04224	1.62342
255	2.60329	-0.00809	0.31158
256	2.60316	0.00395	0.15143
257	2.60311	-0.00241	0.09257
258	2.60352	0.02189	0.83370
259	2.60341	0.00736	0.28176
260	2.60321	0.00756	0.28949
261	2.60321	-0.00709	0.27304
262	2.60342	-0.00821	0.31636
263	2.60324	-0.00071	0.02729
264	2.60343	-0.00365	0.14033
265	2.60312	0.00765	0.29283
266	2.60344	0.00183	0.07037
267	2.60316	0.01859	0.70907
268	2.74850	-0.14231	5.46058
269	2.60334	-0.00996	0.38397
270	2.60301	0.00501	0.19192
271	2.60321	-0.00617	0.23753
272	2.60315	0.00944	0.36145
273	2.60327	0.00932	0.35689
274	2.60355	-0.00011	0.00411
275	2.60329	0.00198	0.07618
276	2.60302	0.00225	0.08639
277	2.60297	-0.01051	0.40542
278	2.60321	-0.01441	0.55661
279	2.60326	-0.00073	0.02799
280	2.60334	0.00468	0.17961
281	2.60317	-0.00705	0.27145
282	2.68434	0.40779	13.18788
283	2.60302	0.01049	0.40143
284	2.60333	-0.00446	0.17171
285	2.60327	0.00292	0.11197
286	2.60327	-0.00532	0.20470
287	2.60301	0.01599	0.61042
288	2.60340	-0.00179	0.06865
289	2.60306	-0.01335	0.51541
290	2.60308	-0.01062	0.40949
291	2.60309	0.00310	0.11884
292	2.60305	0.00863	0.33058
293	2.60326	-0.00439	0.16888
294	2.60311	0.00674	0.25822
295	2.60319	0.00026	0.00981
296	2.60312	-0.01066	0.41109
297	2.68484	-0.08414	3.23514
298	2.60319	0.00940	0.35987
299	2.60313	-0.01067	0.41144
300	2.60333	-0.00629	0.24230
301	2.60351	-0.00738	0.28435
302	2.60336	-0.00174	0.06706
303	2.60321	0.00298	0.11426
304	2.60345	-0.00092	0.03540
305	2.60309	-0.00148	0.05683
306	2.60303	-0.00324	0.12480
307	2.60299	-0.00595	0.22905
308	2.60317	-0.00887	0.34202
309	2.60359	0.00169	0.06473
310	2.60333	-0.01727	0.66797
311	2.74843	0.33179	10.77162
312	2.60329	0.00290	0.11144
313	2.60329	0.00107	0.04107
314	2.60306	0.00039	0.01492
315	2.60335	0.00467	0.17908
316	2.60313	-0.00060	0.02306
317	2.60295	-0.01963	0.76004
318	2.60360	-0.01022	0.39423
319	2.60336	-0.00357	0.13751
320	2.60322	0.00846	0.32408
321	2.60340	-0.00911	0.35121
322	2.60299	-0.00778	0.29992
323	2.60322	-0.00435	0.16747
324	2.60315	-0.00977	0.37672
325	2.62964	-0.02620	1.00624
326	2.72156	-0.12635	4.86864
327	2.60302	-0.00781	0.30098
328	2.60317	0.00211	0.08093
329	2.60345	-0.01190	0.45929
330	2.60309	0.00127	0.04882
331	2.60319	-0.00707	0.27234
332	2.60334	-0.00631	0.24283
333	2.60306	-0.00877	0.33813
334	2.60318	-0.00157	0.06018
335	2.60313	-0.00152	0.05824
336	2.60319	0.00758	0.29020
337	2.60313	-0.00152	0.05842
338	2.60305	0.00588	0.22552
339	2.60321	0.00481	0.18453
340	2.69734	0.39478	12.76742
341	2.65408	-0.05522	2.12460
342	2.60337	-0.00176	0.06759
343	2.60335	0.00101	0.03860
344	2.60310	0.00309	0.11848
345	2.60358	0.00535	0.20513
346	2.60306	-0.00419	0.16129
347	2.60308	-0.00330	0.12692
348	2.60311	-0.00241	0.09274
349	2.60303	-0.00141	0.05436
350	2.60319	-0.00341	0.13098
351	2.60322	0.01395	0.53302
352	2.60310	-0.00606	0.23347
353	2.60295	0.01423	0.54354
354	2.60305	0.00405	0.15548
355	2.74832	-0.15403	5.93729
356	2.60341	-0.00637	0.24531
357	2.60313	0.01587	0.60586
358	2.60315	-0.00519	0.19993
359	2.60322	-0.00069	0.02658
360	2.60297	0.00413	0.15847
361	2.60335	0.00101	0.03878
362	2.60298	0.00595	0.22816
363	2.60315	0.00304	0.11672
