#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
177	2.98576	-0.05836	1.99356
178	2.98751	-0.03358	1.13671
179	2.99356	-0.04786	1.62460
180	3.00733	-0.05339	1.80748
181	2.99705	-0.05592	1.90140
182	2.99165	-0.04869	1.65455
183	2.99164	-0.04503	1.52812
184	2.99453	-0.04151	1.40575
185	2.99824	-0.03058	1.03033
186	2.98481	-0.05192	1.77023
187	2.99299	-0.03722	1.25925
188	2.99979	-0.05684	1.93125
189	2.99116	-0.02990	1.00984
190	2.98737	-0.05905	2.01667
191	3.00408	-0.04465	1.50869
192	2.99443	-0.04324	1.46522
193	3.00418	-0.05574	1.89033
194	2.99833	-0.04622	1.56570
195	2.99026	-0.05920	2.01988
196	2.99703	-0.03852	1.30190
197	3.00338	-0.08788	3.01429
198	2.99026	-0.03267	1.10445
199	2.98721	-0.05157	1.75679
200	2.99580	-0.04095	1.38594
201	2.99981	-0.05777	1.96374
202	2.97990	-0.03420	1.16112
203	2.97371	-0.03625	1.23407
204	2.98132	-0.03562	1.20908
205	2.99240	-0.04395	1.49061
206	2.98265	-0.05159	1.76022
207	3.00044	-0.04834	1.63734
208	3.00136	-0.07671	2.62294
209	2.98331	-0.03304	1.11976
210	2.99932	-0.07192	2.45680
211	2.99092	-0.03881	1.31473
212	3.00170	-0.06241	2.12328
213	2.99945	-0.05741	1.95142
214	2.98673	-0.03920	1.33005
215	3.00263	-0.05693	1.93265
216	2.99464	-0.04803	1.62994
217	2.99351	-0.05787	1.97135
218	2.99514	-0.04121	1.39499
219	3.00131	-0.07483	2.55703
220	2.99744	-0.04168	1.40996
221	2.99434	-0.06511	2.22270
222	2.97942	-0.03006	1.01908
223	2.97187	-0.02342	0.79447
224	2.98419	-0.03849	1.30658
225	2.96469	-0.02631	0.89544
226	2.97663	-0.04191	1.42804
227	2.98699	-0.03031	1.02512
228	2.99953	-0.06665	2.27234
229	2.99671	-0.05101	1.73175
230	2.97845	-0.05288	1.80756
231	2.99646	-0.05168	1.75495
232	2.99062	-0.05408	1.84147
233	2.99904	-0.05060	1.71607
234	2.99828	-0.05258	1.78486
235	2.98478	-0.05097	1.73739
236	2.98279	-0.04258	1.44817
237	2.99136	-0.05390	1.83488
238	2.98659	-0.04455	1.51418
239	2.99306	-0.08488	2.91868
240	2.98419	-0.03666	1.24367
241	2.97771	-0.05580	1.90967
242	3.00201	-0.05905	2.00654
243	2.98305	-0.03094	1.04805
244	2.99663	-0.06374	2.17333
245	2.98806	-0.04694	1.59599
246	2.98410	-0.05487	1.87313
247	2.99243	-0.05405	1.83955
248	2.99708	-0.07975	2.73359
249	2.97845	-0.03092	1.04912
250	2.97713	-0.04241	1.44523
251	3.00616	-0.06412	2.17939
252	2.99855	-0.08122	2.78392
253	2.99467	-0.05263	1.78878
254	2.99301	-0.05097	1.73233
255	2.98118	-0.03731	1.26733
256	2.97791	-0.04502	1.53513
257	3.00826	-0.08360	2.85855
258	2.99048	-0.05393	1.83647
259	2.98498	-0.06948	2.38314
260	3.00599	-0.06852	2.33278
261	3.00392	-0.07287	2.48599
262	3.01076	-0.05866	1.98700
263	2.98618	-0.05604	1.91256
264	2.97216	-0.02829	0.96096
265	2.97736	-0.04447	1.51620
266	2.96997	-0.04623	1.58117
267	2.97092	-0.03895	1.32836
268	2.97084	-0.04985	1.70648
269	2.97410	-0.02200	0.74517
270	2.99492	-0.07759	2.65968
271	2.98943	-0.05105	1.73728
272	2.99735	-0.08643	2.96913
273	2.98752	-0.04548	1.54599
274	2.98552	-0.05538	1.88985
275	2.98592	-0.05029	1.71303
276	2.99447	-0.05060	1.71895
